id,employeeNumber,Center/Location,jobTitle,attendanceDate,shiftStartTime,shiftEndTime,firstInOfTheDay,lastOutOfTheDay,dayType,shiftDuration,shiftEffectiveDuration,totalGrossHours,totalEffectiveHours,totalBreakDuration,totalEffectiveOvertimeDuration,totalGrossOvertimeDuration
d4a3559a-7e93-46e8-9d46-4fca30702440,NP001,Support Office,Center Manager,2025-09-17T00:00:00Z,2025-09-17T04:00:00Z,2025-09-17T13:00:00Z,2025-09-17 05:12:02,2025-09-17 08:24:19,0,9.0,9.0,4.41,3.16,1.25,0.0,0.0
5846b71a-04fd-4ae5-afbf-2e65f7546551,NP001,Support Office,Center Manager,2025-09-18T00:00:00Z,2025-09-18T04:00:00Z,2025-09-18T13:00:00Z,2025-09-18 03:54:24,,0,9.0,9.0,0.0,0.0,0.0,0.0,0.0
4ff2b6f4-eb8f-45ad-a115-6bb34f4f4fb6,NP00121,104-AP-PVP-PPP-C,Center Manager,2025-09-17T00:00:00Z,2025-09-17T00:30:00Z,2025-09-17T09:30:00Z,,,0,9.0,8.5,0.0,0.0,0.0,0.0,0.0
884ffe08-4f0e-4a78-ae34-403c11167a46,NP00121,104-AP-PVP-PPP-C,Center Manager,2025-09-18T00:00:00Z,2025-09-18T00:30:00Z,2025-09-18T09:30:00Z,2025-09-18 00:51:59,,0,9.0,8.5,0.0,0.0,0.0,0.0,0.0
0fea4740-362c-4290-bdd9-edaad13093fe,NP00213,137-AP-SRK-PPP-C,Center Manager,2025-09-17T00:00:00Z,2025-09-17T00:30:00Z,2025-09-17T09:30:00Z,2025-09-17 00:25:28,2025-09-17 09:54:10,0,9.0,8.5,9.48,9.48,0.0,0.98,0.48
fb59dba8-f5a1-4d54-bc7c-fc46422f817a,NP00213,137-AP-SRK-PPP-C,Center Manager,2025-09-18T00:00:00Z,2025-09-18T00:30:00Z,2025-09-18T09:30:00Z,2025-09-18 00:19:38,,0,9.0,8.5,0.0,0.0,0.0,0.0,0.0
48e56e50-45e7-4043-9470-4cfbf84ee4e5,NP00949,101-KA-BLR-RJJ-C,Center Manager,2025-09-17T00:00:00Z,2025-09-17T14:30:00Z,2025-09-17T22:30:00Z,2025-09-17 14:46:45,2025-09-18 01:37:47,0,8.0,7.5,10.85,10.85,0.0,3.35,2.85
3aeda601-74eb-4134-b072-6226ba858d4e,NP00949,101-KA-BLR-RJJ-C,Center Manager,2025-09-18T00:00:00Z,2025-09-18T14:30:00Z,2025-09-18T22:30:00Z,,,0,8.0,7.5,0.0,0.0,0.0,0.0,0.0
60de2ab8-ad11-48fc-9240-41777386662e,NP00952,101-KA-BLR-RJJ-C,Center Manager,2025-09-17T00:00:00Z,2025-09-17T07:00:00Z,2025-09-17T15:00:00Z,2025-09-17 07:12:16,2025-09-17 15:13:13,0,8.0,7.5,8.02,8.02,0.0,0.52,0.02
df820310-1025-49ef-a538-86936114d442,NP00952,101-KA-BLR-RJJ-C,Center Manager,2025-09-18T00:00:00Z,2025-09-18T07:00:00Z,2025-09-18T15:00:00Z,,,0,8.0,7.5,0.0,0.0,0.0,0.0,0.0
837d9240-ab8e-4d1b-8e81-e0e3e3da3a75,NP0103,104-AP-PVP-PPP-C,Center Manager,2025-09-17T00:00:00Z,2025-09-17T04:00:00Z,2025-09-17T13:00:00Z,2025-09-17 04:41:22,2025-09-17 14:09:55,0,9.0,9.0,9.48,9.48,0.0,0.48,0.48
2e68dec8-6ef6-4e27-ba74-e1e0bf11be7b,NP0103,104-AP-PVP-PPP-C,Center Manager,2025-09-18T00:00:00Z,2025-09-18T04:00:00Z,2025-09-18T13:00:00Z,,,0,9.0,9.0,0.0,0.0,0.0,0.0,0.0
b096c71c-068e-4a44-8ade-edbad1034d77,NP0201,103-AP-PKD-PPP-C,Center Manager,2025-09-17T00:00:00Z,2025-09-17T07:30:00Z,2025-09-17T16:30:00Z,2025-09-17 01:03:26,2025-09-17 16:20:10,0,9.0,8.5,15.28,15.28,0.0,6.78,6.28
e934a6d6-4c51-4d48-9d15-0db7f457ebab,NP0201,103-AP-PKD-PPP-C,Center Manager,2025-09-18T00:00:00Z,2025-09-18T07:30:00Z,2025-09-18T16:30:00Z,,,0,9.0,8.5,0.0,0.0,0.0,0.0,0.0
ba7e369b-310f-495b-b2af-cc5a659dd552,NP0206,103-AP-PKD-PPP-C,Center Manager,2025-09-17T00:00:00Z,2025-09-17T04:00:00Z,2025-09-17T13:00:00Z,,,0,9.0,9.0,0.0,0.0,0.0,0.0,0.0
a2695bcc-1a68-4752-8639-4a1fdc1d8524,NP0206,103-AP-PKD-PPP-C,Center Manager,2025-09-18T00:00:00Z,2025-09-18T04:00:00Z,2025-09-18T13:00:00Z,2025-09-18 03:20:03,,0,9.0,9.0,0.0,0.0,0.0,0.0,0.0
213669a7-b68a-4f7d-9ec3-908dd67a4538,NP02368,52-PB-LDH-AKC-S,Center Manager,2025-09-17T00:00:00Z,2025-09-17T02:00:00Z,2025-09-17T10:00:00Z,2025-09-17 01:46:41,2025-09-17 10:21:43,0,8.0,7.5,8.58,8.58,0.0,1.08,0.58
943cf730-1f0c-41cf-9c97-1c0dbf8ae914,NP02368,52-PB-LDH-AKC-S,Center Manager,2025-09-18T00:00:00Z,2025-09-18T02:00:00Z,2025-09-18T10:00:00Z,2025-09-18 01:38:59,,0,8.0,7.5,0.0,0.0,0.0,0.0,0.0
e6d9be47-5f92-44c8-afb1-9a7beae22823,NP03065,3-TS-MBN-YKA-C,Center Manager,2025-09-17T00:00:00Z,2025-09-17T04:00:00Z,2025-09-17T13:00:00Z,2025-09-17 04:19:23,2025-09-17 13:48:29,0,9.0,9.0,9.48,9.48,0.0,0.48,0.48
a73bddb6-5942-4348-9573-276698fdd63c,NP03065,3-TS-MBN-YKA-C,Center Manager,2025-09-18T00:00:00Z,2025-09-18T04:00:00Z,2025-09-18T13:00:00Z,2025-09-18 04:48:17,,0,9.0,9.0,0.0,0.0,0.0,0.0,0.0
c6070033-f5b2-4c88-894c-d01ffc9f1c49,NP04807,169-HR-KKT-JNR-C,Center Manager,2025-09-17T00:00:00Z,2025-09-17T01:30:00Z,2025-09-17T09:30:00Z,2025-09-17 01:19:36,2025-09-17 11:51:24,0,8.0,7.5,10.53,10.53,0.0,3.03,2.53
eb8432a8-1f8c-4e25-8b7b-768913c23576,NP04807,169-HR-KKT-JNR-C,Center Manager,2025-09-18T00:00:00Z,2025-09-18T01:30:00Z,2025-09-18T09:30:00Z,2025-09-18 01:02:12,,0,8.0,7.5,0.0,0.0,0.0,0.0,0.0
0577aef1-7c67-4265-b8df-4157d548da4d,NP04922,48-PB-LDH-SHP-C,Center Manager,2025-09-17T00:00:00Z,2025-09-17T01:30:00Z,2025-09-17T09:30:00Z,,,2,8.0,7.5,0.0,0.0,0.0,0.0,0.0
c47c9b53-e2ef-4513-8b7c-b5f91eddb78c,NP04922,48-PB-LDH-SHP-C,Center Manager,2025-09-18T00:00:00Z,2025-09-18T01:30:00Z,2025-09-18T09:30:00Z,2025-09-18 01:34:31,,0,8.0,7.5,0.0,0.0,0.0,0.0,0.0
