id,employeeNumber,Center,jobTitle,attendanceDate,shiftStartTime,shiftEndTime,firstInOfTheDay,lastOutOfTheDay,dayType,shiftDuration,shiftEffectiveDuration,totalGrossHours,totalEffectiveHours,totalBreakDuration,totalEffectiveOvertimeDuration,totalGrossOvertimeDuration
f3c543c5-c0df-4ad4-9195-cfcad1f266db,NP001,Support Office,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 04:26,22-09-2025 08:50,0,9,9,4.4,4.35,0.05,0,0
359c35df-6343-4d0b-b2d4-a263c21326d2,NP00121,104-AP-PVP-PPP-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T07:30:00Z,2025-09-22T16:30:00Z,22-09-2025 06:09,22-09-2025 15:41,0,9,8.5,9.53,9.53,0,1.03,0.53
9dc7a5da-34f1-4338-bc2d-951424c08d05,NP00213,137-AP-SRK-PPP-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T00:30:00Z,2025-09-22T09:30:00Z,,,0,9,8.5,0,0,0,0,0
b8df86f1-0c07-4c79-9eaf-999acb986892,NP00949,101-KA-BLR-RJJ-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 01:51,22-09-2025 13:04,0,9,9,11.22,11.22,0,2.22,2.22
5377b63d-d8d4-440e-bf12-cc2de2c9a799,NP00952,101-KA-BLR-RJJ-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 15:06,,0,9,9,0,0,0,0,0
2feedd0f-8a0f-4b89-bc4e-44366c58c16a,NP0103,104-AP-PVP-PPP-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 08:02,,0,9,9,0,0,0,0,0
9c3b51e1-c26d-4db9-928c-bf3e308079b7,NP0201,103-AP-PKD-PPP-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T01:00:00Z,2025-09-22T10:00:00Z,22-09-2025 01:02,22-09-2025 10:01,0,9,8.5,8.98,8.98,0,0.48,0
c226aef5-9e24-4bc0-9169-25bd98905b08,NP0206,103-AP-PKD-PPP-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 03:23,22-09-2025 15:20,0,9,9,11.95,11.95,0,2.95,2.95
ac63cb7c-c6d1-4880-8a2e-8afb1ccb4221,NP02368,52-PB-LDH-AKC-S,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 01:32,22-09-2025 10:16,0,9,9,8.73,8.73,0,0,0
bd238524-0fb5-4f47-9781-93631335d1e0,NP03065,3-TS-MBN-YKA-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 04:41,22-09-2025 15:40,0,9,9,10.99,10.99,0,1.99,1.99
